SHA-256,来源/案例,文件大小（字节）,文件类型,语言候选,可恢复程度,熵,特征提取状态,AI工具链证据数,LLM参与结论,模型厂商,模型家族,具体模型,归因方法,代码文体特征状态,Prompt候选数,Prompt结构标记数,Prompt结构状态,Prompt精确哈希数,Prompt模糊哈希数,Prompt模糊哈希状态,特殊Token数,PyInstaller恢复状态,分析错误数,物理输入路径数,分析批次,结果位置,人工确认,备注
4c73717d933f6b53c40ed1b211143df8d011800897be1ceb5d4a2af39c9d4ccc,MalTerminal,4009,"Unicode text, UTF-8 text, with CRLF line terminators",python,original_source,4.8369,已完成,5,confirmed,OpenAI,GPT,gpt-3.5-turbo,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/4c73717d933f6b53c40ed1b211143df8d011800897be1ceb5d4a2af39c9d4ccc/result.json,—,—
4ddbc14d8b6a301122c0ac6e22aef6340f45a3a6830bcdacf868c755a7162216,MalTerminal,24276,"Python script, ASCII text executable, with very long lines (24155)",python,original_source,4.2865,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/4ddbc14d8b6a301122c0ac6e22aef6340f45a3a6830bcdacf868c755a7162216/result.json,PyArmor代码混淆,—
4ee3b09dd9a787ebbb02a637f8af192a7e91d4b7af1515d8e5c21e1233f0f1c7,PromptSpy,5148538,"Android package (APK), with gradle app-metadata.properties Zip archive data, at least v0.0 to extract, compression method=deflate",—,strings_only,7.7415,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1_apk_member_scan_v1,analysis_results/promptspy_batch/4ee3b09dd9a787ebbb02a637f8af192a7e91d4b7af1515d8e5c21e1233f0f1c7/result.json,APK文件，无法确认,—
5ab16a59b12c7c5539d9e22a090ba6c7942fbc5ab8abbc5dffa6b6de6e0f2fc6,LAMEHUG（APT28）,16648,data,—,unknown,6.1269,已完成,1,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/5ab16a59b12c7c5539d9e22a090ba6c7942fbc5ab8abbc5dffa6b6de6e0f2fc6/result.json,—,—
5f6bfdd430a23afdc518857dfff25a29d85ead441dfa0ee363f4e73f240c89f4,LAMEHUG（APT28）,19827,"Python script, ASCII text executable, with very long lines (360)",python,original_source,5.5703,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/5f6bfdd430a23afdc518857dfff25a29d85ead441dfa0ee363f4e73f240c89f4/result.json,—,—
68ca559bf6654c7ca96c10abb4a011af1f4da0e6d28b43186d1d48d2f936684c,MalTerminal,5070,"ASCII text, with CRLF line terminators",python,original_source,4.6558,已完成,4,confirmed,OpenAI,GPT,gpt-3.5-turbo,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/68ca559bf6654c7ca96c10abb4a011af1f4da0e6d28b43186d1d48d2f936684c/result.json,—,—
75b4ad99f33d1adbc0d71a9da937759e6e5788ad0f8a2c76a34690ef1c49ebf5,MalTerminal,2160,"Python script, ASCII text executable, with CRLF line terminators",python,original_source,4.6707,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/75b4ad99f33d1adbc0d71a9da937759e6e5788ad0f8a2c76a34690ef1c49ebf5/result.json,加密勒索软件，未见ai信号,—
766c356d6a4b00078a0293460c5967764fcd788da8c1cd1df708695f3a15b777,PROMPTSTEAL,10680751,"PE32+ executable (GUI) x86-64, for MS Windows, 7 sections",—,strings_only,7.9913,已完成,2,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,recovered,0,2,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/766c356d6a4b00078a0293460c5967764fcd788da8c1cd1df708695f3a15b777/result.json,—,—
8013b23cb78407675f323d54b6b8dfb2a61fb40fb13309337f5b662dbd812a5d,LAMEHUG（APT28）,10434647,"Zip archive data, at least v2.0 to extract, compression method=deflate",—,strings_only,7.9987,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/8013b23cb78407675f323d54b6b8dfb2a61fb40fb13309337f5b662dbd812a5d/result.json,zip文件，无法确认,—
854b559bae2ce8700edd75808267cfb5f60d61ff451f0cf8ec1d689334ac8d0b,MalTerminal,6747,"Python script, Unicode text, UTF-8 text executable",python,original_source,4.6641,已完成,4,confirmed,OpenAI,GPT,gpt-3.5-turbo,direct_model_identifier,not_trained,1,0,含完整 Prompt 候选,1,1,完整：1/1,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/854b559bae2ce8700edd75808267cfb5f60d61ff451f0cf8ec1d689334ac8d0b/result.json,—,—
8eea1f65e468b515020e3e2854805f1ef5c611342fa23c4b31d8ed3374286a90,QUIETVAULT,6632,"Node.js script executable, Unicode text, UTF-8 text, with very long lines (555)",javascript,original_source,4.8966,已完成,2,confirmed,Anthropic,Claude,—,ai_cli_mapping,not_trained,1,0,含完整 Prompt 候选,1,1,完整：1/1,0,not_detected,0,1,static_review_20260826,analysis_results/review_reextraction_20260826/8eea1f65e468b515020e3e2854805f1ef5c611342fa23c4b31d8ed3374286a90/result.json,—,—
